id,channelName,likes,url,viewCount,date,numberOfSubscribers,title,commentsCount
jTxMuBu7Ajo,Lenskart,185,https://www.youtube.com/shorts/jTxMuBu7Ajo,11063,2024-01-31T00:00:00.000Z,,Coolest Sunglasses For Men Trending Right Now | #Shorts | #Lenskart,4
ayxv4_N3sys,Lenskart,211,https://www.youtube.com/shorts/ayxv4_N3sys,7064,2024-04-03T00:00:00.000Z,,Peyush Bansal in Conversation With Ronnie Screwvala | Shark Tank India | #Shorts | #Lenskart,3
4_oBzD75iZM,Lenskart,226,https://www.youtube.com/shorts/4_oBzD75iZM,7580,2024-07-03T00:00:00.000Z,,Reasons to Buy Hustlr Glasses | #Shorts | #Lenskart,11
4CG95Dsy6LQ,Lenskart,205,https://www.youtube.com/shorts/4CG95Dsy6LQ,7763,2024-04-17T00:00:00.000Z,,What To Do With Old Glasses? | TOP TIPS | #Shorts | #Lenskart,3
7qnUmOZoZXU,Lenskart,185,https://www.youtube.com/shorts/7qnUmOZoZXU,7691,2024-02-12T00:00:00.000Z,,Glasses To Wear On Your Next Date | #Shorts | #Lenskart,2
IQU9RlKdlT4,Lenskart,182,https://www.youtube.com/shorts/IQU9RlKdlT4,7679,2024-01-05T00:00:00.000Z,,How to fix glasses that slide down the nose? | #Shorts | #Lenskart,1
_zIu8OU03wU,Lenskart,136,https://www.youtube.com/shorts/_zIu8OU03wU,7711,2024-01-23T00:00:00.000Z,,Getting Ready for College ft. Lenskart Hustlr Glasses | #Shorts | #Lenskart,0
PBgTbrH_UOo,Lenskart,154,https://www.youtube.com/shorts/PBgTbrH_UOo,7844,2024-04-28T00:00:00.000Z,,This Will Leave You SHOCKED | #Shorts | Lenskart Buyback | #Shorts | #Lenskart,3
Z2bC4XVmNGY,Lenskart,188,https://www.youtube.com/shorts/Z2bC4XVmNGY,8244,2024-03-08T00:00:00.000Z,,All New Colors Of Hustlr At The Lenskart Store | #Shorts | #Lenskart,4
c8v1fwRIe9I,Lenskart,236,https://www.youtube.com/shorts/c8v1fwRIe9I,8011,2023-11-24T00:00:00.000Z,,Things To Do At Lenskart Store | Lenskart Eyeconic Sale | #Shorts | #Lenskart,1
WpoWALOhNOg,Lenskart,123,https://www.youtube.com/shorts/WpoWALOhNOg,7920,2024-02-13T00:00:00.000Z,,Best Selling Eyeglasses For Kids in India | #Shorts | #Lenskart,2
i31Pbd7JpmM,Lenskart,63,https://www.youtube.com/watch?v=i31Pbd7JpmM,7207,2024-05-11T00:00:00.000Z,272000,3 Services FREE On Lenskart Right Now | Best Gift for Moms | #Lenskart,1
mn5IwRlCzI0,kooL Tech,269,https://www.youtube.com/watch?v=mn5IwRlCzI0,7295,2024-08-25T00:00:00.000Z,189000,"Lenskart 70% Off, Fi Cashback Looot, Flash Swiggy Rs.250 Free Loot, Online Shopping Loot Offers",71
hR0yzTrsETQ,Lenskart,136,https://www.youtube.com/shorts/hR0yzTrsETQ,6984,2024-02-24T00:00:00.000Z,,LATEST Eyewear At The Lenskart Store Right Now | #Shorts | #Lenskart,2
zoGV1TRQjlQ,Lenskart,151,https://www.youtube.com/shorts/zoGV1TRQjlQ,8268,2024-02-07T00:00:00.000Z,,The NEON GLASSES You Must Buy Right Now | #Shorts | #Lenskart,3
06kEPiVKUxE,Lenskart,436,https://www.youtube.com/shorts/06kEPiVKUxE,8275,2024-02-15T00:00:00.000Z,,SURPRISING NANI | Valentine's Day Special | #Shorts | #Lenskart,5
tRyqpXx6zvk,Lenskart,399,https://www.youtube.com/shorts/tRyqpXx6zvk,8295,2024-06-22T00:00:00.000Z,,5 TIPS To Have Healthy Eyes | #Shorts | #Lenskart,1
PmQkGLx1wDU,Lenskart,100,https://www.youtube.com/shorts/PmQkGLx1wDU,5865,2024-06-16T00:00:00.000Z,,Pilates Workout ft. Lenskart Glasses | #Shorts | #Lenskart,3
kZ8itQCO96Q,Lenskart,191,https://www.youtube.com/shorts/kZ8itQCO96Q,5935,2024-08-02T00:00:00.000Z,,Weekend Shopping Plans | #Shorts | #Lenskart,3
1qqP8G02yII,Lenskart,116,https://www.youtube.com/shorts/1qqP8G02yII,5809,2024-07-06T00:00:00.000Z,,Services at Lenskart Store You SHOULDN'T MISS | #Shorts | #Lenskart,0
V28WXJavwBI,Lenskart,94,https://www.youtube.com/shorts/V28WXJavwBI,5742,2023-12-09T00:00:00.000Z,,Grab Your Fav Shark's Hustlr Eyeglasses At FLAT 60% Off | #Shorts | #Lenskart,0
0_ylWu9Ze0o,Lenskart,41,https://www.youtube.com/shorts/0_ylWu9Ze0o,5786,2024-06-22T00:00:00.000Z,,When Moms Want to Relax | #Shorts | #Lenskart,0
ne-AUM9psoU,Lenskart,221,https://www.youtube.com/shorts/ne-AUM9psoU,6066,2024-08-11T00:00:00.000Z,,Peyush and Jeremie on Le Petit Lunetier | #Shorts | #Lenskart,6
7GpYaO8VoM4,Lenskart,98,https://www.youtube.com/shorts/7GpYaO8VoM4,6020,2024-06-30T00:00:00.000Z,,Eyewear Styles at BEST PRICES | Lenskart Store | #Shorts | #Lenskart,4
