id,channelName,commentsCount,likes,viewCount,date,numberOfSubscribers,url,title,location
SJbAesSvb_A,Shivani & Shashi,203,0,375531,2024-06-15T00:00:00.000Z,,https://www.youtube.com/shorts/SJbAesSvb_A,Spects shopping?? #shorts #shortsindia #minivlog #teluguvlogs #telugu #shopping #lenskart #shisha,Lucknow
LOyYmmJunDg,Lenskart,17,891,25306,2024-03-17T00:00:00.000Z,,https://www.youtube.com/shorts/LOyYmmJunDg,How To Avail Lenskart Buyback | The Big Buyback Festival | #Shorts | #Lenskart,Indore
YRJE6ZBFP8w,Lenskart,6,632,25516,2024-02-27T00:00:00.000Z,,https://www.youtube.com/shorts/YRJE6ZBFP8w,Hustlr Glasses Worn & Loved By Celebs | #Shorts | #Lenskart,Mumbai
3GcUKQt9Lgw,Indian Hustle With Pranav,47,10000,313410,2024-03-31T00:00:00.000Z,,https://www.youtube.com/shorts/3GcUKQt9Lgw,Is Lenskart Profitable or Not? #shorts,Rajkot
qo22S_FJvL4,Lenskart,6,669,26397,2023-11-10T00:00:00.000Z,,https://www.youtube.com/shorts/qo22S_FJvL4,You Are Cleaning The Glasses The Wrong Way | #Shorts | #Lenskart,Ludhiana
MgHC3dsTayQ,Lenskart,10,687,25839,2023-09-17T00:00:00.000Z,,https://www.youtube.com/shorts/MgHC3dsTayQ,All About The New Jade Green Hustlr | #Shorts | #Lenskart,Patna
j8IN9J46brA,Jay Kapoor,11,1200,20136,2024-08-20T00:00:00.000Z,,https://www.youtube.com/shorts/j8IN9J46brA,10k ka LensKart Voucher ??,Bangalore
IUsghaBk3kw,Lenskart,2,402,21127,2024-01-12T00:00:00.000Z,,https://www.youtube.com/shorts/IUsghaBk3kw,All You Need To Know About Lenskart Gold Membership | #Shorts | #Lenskart,Agra
gSIWijGZra4,Lenskart,14,650,24515,2024-01-27T00:00:00.000Z,,https://www.youtube.com/shorts/gSIWijGZra4,Everything You Need To Know About Lenskart Gold Membership | #Shorts | #Lenskart,Mumbai
2yzr_7onYt0,Lenskart,5,897,31745,2024-03-21T00:00:00.000Z,,https://www.youtube.com/shorts/2yzr_7onYt0,Everything You Need To Know About Lenskart Exchange Offer | #Shorts | #Lenskart,Nashik
hgp1o6eZmkE,Indian Hustle With Pranav,74,12000,426479,2024-04-20T00:00:00.000Z,,https://www.youtube.com/shorts/hgp1o6eZmkE,How AI Is Helping Lenskart?,Visakhapatnam
heUxMS3n6UQ,Lenskart,19,1200,32444,2024-02-04T00:00:00.000Z,,https://www.youtube.com/shorts/heUxMS3n6UQ,Peyush Bansal Introducing A NEW HUSTLR Color | Electric Green | #Shorts | #Lenskart,Meerut
gMS7pzIKcPU,Lenskart,16,562,20252,2024-02-20T00:00:00.000Z,,https://www.youtube.com/shorts/gMS7pzIKcPU,Hustlr Glasses Are A Craze Everywhere | #Shorts | #Lenskart,Bhopal
jprtseRUJTs,Lenskart,15,924,29957,2024-02-01T00:00:00.000Z,,https://www.youtube.com/shorts/jprtseRUJTs,Life Of Lenskart Employees | We're Lenskartians | #Shorts | #Lenskart,Aurangabad
3FAZJbDoQM8,Lenskart,4,582,27063,2024-01-21T00:00:00.000Z,,https://www.youtube.com/shorts/3FAZJbDoQM8,Try Out the New Armed Forces Inspired Eyewear at #Lenskart | Patriot Collection,Indore
n0JP5A0VsCA,Sufiyan and Nida,94,45000,913605,2024-07-03T00:00:00.000Z,,https://www.youtube.com/shorts/n0JP5A0VsCA,Style Maarne Ki Aadat Sufiyan Ki Jaigi Nahi ?? Mini Vlog ?? #shorts #ytshorts #lenskart,Vadodara
vF4HPngGvfs,Allen Choudhary,66,62000,823432,2024-01-23T00:00:00.000Z,,https://www.youtube.com/shorts/vF4HPngGvfs,How to Buy Perfect Sunglasses????#dailyshorts #mensfashion #sunglasses #lenskart #shopping #style,Coimbatore
pbr0YFdmPT4,Tejasvi Rajput,141,63000,1018695,2024-07-17T00:00:00.000Z,,https://www.youtube.com/shorts/pbr0YFdmPT4,I got my new glasses! ??? || Tejasvi Rajput || #ytshorts #lenskart #ad,Rajkot
3BkIgSBgwD0,Gen-Z Way,461,60000,736846,2024-05-20T00:00:00.000Z,,https://www.youtube.com/shorts/3BkIgSBgwD0,Lenskart hidden strategy???? #money #buisness #businessideas #marketing #startup,Coimbatore
p6yctaNsyss,Angkitjoshi,103,55000,1150036,2024-07-07T00:00:00.000Z,,https://www.youtube.com/shorts/p6yctaNsyss,Lenskart Gift #lenskart  #angkitjoshi #comedy,Ranchi
51yhkUyOZoQ,salsabeel vlogs,70,974,32679,2024-03-10T00:00:00.000Z,,https://www.youtube.com/shorts/51yhkUyOZoQ,Lenskart hustlr Ace || blue cut || #shorts #hustlr #lenskart #sharktank #viral,Patna
lsQdpg2bN5Y,Lenskart,4,564,31553,2024-03-23T00:00:00.000Z,,https://www.youtube.com/shorts/lsQdpg2bN5Y,Get Your Sunglasses Cleaned For FREE Post Holi | #Shorts | #Lenskart,Chennai
g9dw1AB5iHg,Lenskart,8,174,21162,2024-02-02T00:00:00.000Z,272000,https://www.youtube.com/watch?v=g9dw1AB5iHg,5 POWERFUL Reasons Why You Need To Buy Hustlr in Under 1 Minute | #Lenskart,Vadodara
pLJg-tyfkHY,SET India,19,66000,1225906,2024-05-02T00:00:00.000Z,,https://www.youtube.com/shorts/pLJg-tyfkHY,Shark Anupam ?? lenskart ?? owner? #Shorts #SharkTankIndia #AmanGupta #SharkTankIndiaClips #Funny,Mumbai
fB88nfnTTzk,Lenskart,3,261,15468,2024-02-09T00:00:00.000Z,,https://www.youtube.com/shorts/fB88nfnTTzk,Stepping Inside The Lenskart Store Be Like | #Shorts | #Lenskart,Varanasi
H8fVrcFv_8A,Lenskart,5,667,16199,2024-02-28T00:00:00.000Z,,https://www.youtube.com/shorts/H8fVrcFv_8A,#SPOTTED : Sharks in Hustlr Glasses | Shark Tank India | #Shorts | #Lenskart,Ahmedabad
r1Y60AZ1x0g,GrowthX,669,130000,2688287,2024-02-22T00:00:00.000Z,,https://www.youtube.com/shorts/r1Y60AZ1x0g,How Lenskart Beat Tata?,Aurangabad
PaKpRU3CiuY,Lenskart,5,312,15268,2024-02-28T00:00:00.000Z,,https://www.youtube.com/shorts/PaKpRU3CiuY,KARTIK AARYAN Spotted Shopping at the Lenskart Store | #Shorts | #Lenskart,Chennai
b9KZEQRQq1g,Lenskart,6,493,15957,2024-01-24T00:00:00.000Z,,https://www.youtube.com/shorts/b9KZEQRQq1g,#SPOTTED : Sharks in Hustlr Glasses | Shark Tank India | #Shorts | #Lenskart,Ghaziabad
KdCjKh9uhnU,Lenskart,30,881,15811,2024-03-09T00:00:00.000Z,,https://www.youtube.com/shorts/KdCjKh9uhnU,We Have A SOLUTION For Your Old Glasses | #GlassesBadloIndiaBadlo | #Shorts | #Lenskart,Visakhapatnam
80vU8W0TFfo,Lenskart,15,757,16640,2024-01-14T00:00:00.000Z,,https://www.youtube.com/shorts/80vU8W0TFfo,Best Foods For Eye Health and Vision | #Shorts | #Lenskart,Coimbatore
IISYkQ9M1rs,Lenskart,2,534,16099,2024-01-11T00:00:00.000Z,,https://www.youtube.com/shorts/IISYkQ9M1rs,How To Measure Frame Size At Home | #Shorts | #Lenskart,Lucknow
poQYySLiPf4,Lenskart,5,410,15841,2024-02-24T00:00:00.000Z,,https://www.youtube.com/shorts/poQYySLiPf4,Get To Know All About The New Hustlr ACE | #Shorts | #Lenskart,Agra
4dvReQ7oKqQ,Lenskart,5,397,16203,2024-02-29T00:00:00.000Z,,https://www.youtube.com/shorts/4dvReQ7oKqQ,3 Things To AVOID While Wearing Contact Lenses | #Shorts | #Lenskart,Delhi
TXWBz2_32Eo,Lenskart,4,341,16781,2023-12-07T00:00:00.000Z,,https://www.youtube.com/shorts/TXWBz2_32Eo,FREE Eye Test At Lenskart Store | #Shorts | #Lenskart,Nashik
XVGC5PskcJI,Lenskart,4,601,18159,2024-02-16T00:00:00.000Z,,https://www.youtube.com/shorts/XVGC5PskcJI,How Lenskart BLU Works | #Shorts | #Lenskart,Mumbai
Rmlp8KFDzIE,Lenskart,3,410,17640,2024-01-01T00:00:00.000Z,,https://www.youtube.com/shorts/Rmlp8KFDzIE,New Hustlr Color At Lenskart Stores | #Shorts | #Lenskart,Chennai
KGDkaT7oT4E,Lenskart,2,396,18210,2024-08-04T00:00:00.000Z,,https://www.youtube.com/shorts/KGDkaT7oT4E,When Dad Plays a Prank on You ft. Lenskart Progressive Lenses | #Shorts | #Lenskart,Nagpur
ZZBtyrajTnA,Chasma Wala,0,168,17209,2024-05-09T00:00:00.000Z,2060,https://www.youtube.com/watch?v=ZZBtyrajTnA,Unboxing Lenskart Hustlr Eyeglasses  Review Bluecut Computer Glasses ?@chasmawala786?,Noida
EHKGyrz64po,Lenskart,5,423,17880,2024-03-03T00:00:00.000Z,,https://www.youtube.com/shorts/EHKGyrz64po,Hustlr Glasses Now Available In DIFFERENT SIZES | #Shorts | #Lenskart,Bangalore
yyiJmKBuosk,Lenskart,1,323,19247,2024-01-31T00:00:00.000Z,,https://www.youtube.com/shorts/yyiJmKBuosk,How to Choose the Best Frame for Yourself | #Shorts | #Lenskart,Pune
cS3g11kSJuE,Lenskart,6,311,17010,2023-09-22T00:00:00.000Z,,https://www.youtube.com/shorts/cS3g11kSJuE,3 Glasses Fir Kids Who Are Going Back To School | #Shorts | #Lenskart,Patna
GCcgwe8VSXM,Lenskart,5,339,18323,2024-05-24T00:00:00.000Z,,https://www.youtube.com/shorts/GCcgwe8VSXM,Unbreakable Eyeglasses Are For Real | Lenskart Air Flex | #Shorts | #Lenskart,Meerut
S0KwiCKFiPE,Lenskart,2,287,18796,2024-02-27T00:00:00.000Z,,https://www.youtube.com/shorts/S0KwiCKFiPE,Majnu Bhai Inspired Glasses | Welcome | Anil Kapoor | #Shorts | #Lenskart,Surat
z76SzKYhgWI,Lenskart,5,498,19536,2024-04-28T00:00:00.000Z,,https://www.youtube.com/shorts/z76SzKYhgWI,The Power Of Two In One | Lenskart Air Switch | #Shorts | #Lenskart,Rajkot
1XikCrnprCw,Sahil Khan NT,1650,405000,9059672,2024-05-28T00:00:00.000Z,,https://www.youtube.com/shorts/1XikCrnprCw,Who is the owner of Lenskart? Funny GK Question Challenge For World's Largest Pizza??P-1#gkchallenge,Vadodara
pm47-12Odqg,Lenskart,4,206,11090,2024-04-17T00:00:00.000Z,,https://www.youtube.com/shorts/pm47-12Odqg,Unboxing The Best Glasses For Your Child | #Shorts | #Lenskart,Visakhapatnam
Yjjeh0tY0Hs,Lenskart,3,269,12416,2023-12-20T00:00:00.000Z,,https://www.youtube.com/shorts/Yjjeh0tY0Hs,Look Who Joined The Trend | #Shorts | #Lenskart,Nagpur
QfT-9etxkEU,Lenskart,4,390,12724,2024-06-02T00:00:00.000Z,,https://www.youtube.com/shorts/QfT-9etxkEU,Best Glasses For Four FACE SHAPE | #Shorts | #Lenskart,Noida
kuecIPOMCg8,Lenskart,2,336,12056,2024-03-25T00:00:00.000Z,,https://www.youtube.com/shorts/kuecIPOMCg8,Types Of People On #Holi ft. Lenskart Sunnies | Happy Holi | #Shorts | #Lenskart,Coimbatore
wy_VV7noQs4,Lenskart,3,208,11551,2024-02-17T00:00:00.000Z,,https://www.youtube.com/shorts/wy_VV7noQs4,Buy the Lenskart Glasses at Buy 1 Get 1 Offer | MUST WATCH | #Shorts | #Lenskart,Pune
fTW7ClmdAko,Lenskart,2,869,12218,2024-08-21T00:00:00.000Z,,https://www.youtube.com/shorts/fTW7ClmdAko,What's Your Screen Time????? | #Shorts | #Lenskart,Aurangabad
oAjsPExnkRs,Lenskart,2,436,12855,2023-09-02T00:00:00.000Z,,https://www.youtube.com/shorts/oAjsPExnkRs,3 Yoga Exercises For Healthy Eyes | #Shorts | #Lenskart,Chennai
JIVGq3Jk9Fs,Lenskart,1,266,12127,2024-01-28T00:00:00.000Z,,https://www.youtube.com/shorts/JIVGq3Jk9Fs,FREE Services at the Lenskart Store | #Shorts | #Lenskart,Lucknow
4eilgmE4Li0,Lenskart,3,185,12039,2024-01-30T00:00:00.000Z,,https://www.youtube.com/shorts/4eilgmE4Li0,#SPOTTED : Tanmay Bhatt Wearing Hustlr on Koffee With Karan | #Shorts | #Lenskart,Ghaziabad
5Jtn8qcjRTI,Lenskart,9,275,12433,2024-02-26T00:00:00.000Z,,https://www.youtube.com/shorts/5Jtn8qcjRTI,What Is The Hot Air Balloon Eye Test | #Shorts | #Lenskart,Rajkot
n-3Ix4qCv1Q,Lenskart,4,333,13172,2024-03-02T00:00:00.000Z,,https://www.youtube.com/shorts/n-3Ix4qCv1Q,You SHOULD NOT MISS This | The Big Buyback Festival | #Shorts | #Lenskart,Lucknow
lFrtK3FQqL8,Lenskart,0,210,12456,2024-08-24T00:00:00.000Z,,https://www.youtube.com/shorts/lFrtK3FQqL8,A Day in the Life of a College Student ft. Lenskart Screen Glasses | #Shorts,Kolkata
S4zq1zBieSo,Lenskart,5,506,12853,2024-04-14T00:00:00.000Z,,https://www.youtube.com/shorts/S4zq1zBieSo,Types of T20 Cricket Fans | T20 Fan Mania | #Shorts | #Lenskart,Patna
#NAME?,Lenskart,1,428,11303,2024-07-26T00:00:00.000Z,,https://www.youtube.com/shorts/-nnPU3-RMD8,Buy Progressive Lenses on SALE | #Shorts | #Lenskart,Delhi
7K29YKs-vHc,Shark Tank India,107,1700,135040,2024-07-29T00:00:00.000Z,3360000,https://www.youtube.com/watch?v=7K29YKs-vHc,Isak Perfume ?? Owner ?? ????? Peyush ?? ???? ?? ????? 'Welcome To Lenskart' | Individual Shark Wins,Pune
4ML6QA-LvWw,Lenskart,1,384,13816,2024-05-28T00:00:00.000Z,,https://www.youtube.com/shorts/4ML6QA-LvWw,3 Must Have College Essentials | #Shorts | #Lenskart,Jaipur
_gyl05VZ1mc,Lenskart,1,260,14344,2024-02-11T00:00:00.000Z,,https://www.youtube.com/shorts/_gyl05VZ1mc,3 Eye Glasses LIFE HACKS and Glasses Tips | #Shorts | #Lenskart,Indore
UckMOpdSwZE,Lenskart,12,728,13816,2024-03-04T00:00:00.000Z,,https://www.youtube.com/shorts/UckMOpdSwZE,Get Your Glasses Delivered Within 30 Minutes | #Shorts | #Lenskart,Indore
VWZxKrqElIU,Lenskart,1,262,14935,2024-02-18T00:00:00.000Z,,https://www.youtube.com/shorts/VWZxKrqElIU,3 SOLUTIONS For Headache From New Glasses | #Shorts | #Lenskart,Nashik
XOm9cRLFNUw,Lenskart,5145,572000,15544496,2023-11-20T00:00:00.000Z,,https://www.youtube.com/shorts/XOm9cRLFNUw,Peyush Bansal Talks About The Eyewear Innovation At Lenskart | #Shorts | #Lenskart,Delhi
TpGL_nmw3d0,Lenskart,10,387,13556,2023-11-12T00:00:00.000Z,,https://www.youtube.com/shorts/TpGL_nmw3d0,Things You Need To Know About Lenskart Hustlr Eyeglasses | #Shorts | #Lenskart,Pune
WJq95WwgONw,Lenskart,4,355,14731,2024-02-20T00:00:00.000Z,,https://www.youtube.com/shorts/WJq95WwgONw,What Are The Benefits of Using Computer Glasses | #Shorts | #Lenskart,Mumbai
l4e-t4jiL2Q,GrowthX,163,3000,217181,2024-02-15T00:00:00.000Z,358000,https://www.youtube.com/watch?v=l4e-t4jiL2Q,Lenskart vs Titan: How Lenskart Defeated a TATA Brand | GrowthX Wireframe,Kolkata
Po0CZrA1qCQ,Lenskart Singapore,0,3300,265781,2024-03-26T00:00:00.000Z,385,https://www.youtube.com/watch?v=Po0CZrA1qCQ,Lenskart - Make the Switch,Visakhapatnam
fvxi595UYTA,Lenskart,3,392,9580,2024-08-05T00:00:00.000Z,,https://www.youtube.com/shorts/fvxi595UYTA,How To Take Care of Your Glasses | TIPS & TRICKS | #Shorts | #Lenskart,Rajkot
BfpFoIhvmTI,Lenskart,1,212,10196,2024-07-14T00:00:00.000Z,,https://www.youtube.com/shorts/BfpFoIhvmTI,HOW USEFUL are the Screen Glasses | Lenskart BLU | #Shorts | #Lenskart,Faridabad
veCFsTncy7c,Lenskart,2,234,9792,2023-12-27T00:00:00.000Z,,https://www.youtube.com/shorts/veCFsTncy7c,Buy 1 Get 1 FREE On Lenskart Sunglasses | #Shorts | #Lenskart,Meerut
Zs9RAHWi8aM,Lenskart,3,207,9882,2024-04-13T00:00:00.000Z,,https://www.youtube.com/shorts/Zs9RAHWi8aM,Kids Friendly Glasses | Flexible & Bendable Eyeglasses | #Shorts | #Lenskart,Pune
r_hbBScBk_s,Lenskart,3,189,10208,2023-09-25T00:00:00.000Z,,https://www.youtube.com/shorts/r_hbBScBk_s,Grab The Best Offers At Your Nearest Lenskart Store | #Shorts | #Lenskart,Patna
3MGIk-N-MwQ,Lenskart,1,329,10180,2024-03-13T00:00:00.000Z,,https://www.youtube.com/shorts/3MGIk-N-MwQ,What To Do With Your Old Glasses | #Shorts | #Lenskart,Bhopal
iQXr_mln95U,Lenskart,5,213,9740,2024-01-29T00:00:00.000Z,,https://www.youtube.com/shorts/iQXr_mln95U,Things You Need To Know About Lenskart Hustlr Eyeglasses | #Shorts | #Lenskart,Nashik
J5fCMaEejy8,Lenskart,2,236,9537,2023-12-07T00:00:00.000Z,,https://www.youtube.com/shorts/J5fCMaEejy8,Shark Tank India Season 3 Coming Soon | Peyush Bansal | #Lenskart,Meerut
CGDFbdQCUis,Lenskart,0,145,9913,2023-12-14T00:00:00.000Z,,https://www.youtube.com/shorts/CGDFbdQCUis,Why You Need Powered Sunglasses | #Shorts | #Lenskart,Varanasi
YBpeagaLF48,Lenskart,1,147,10415,2023-12-14T00:00:00.000Z,,https://www.youtube.com/shorts/YBpeagaLF48,Lenskart Gold Rush SALE IS BACK | #Shorts | #Lenskart,Noida
pLo59SzUyiI,Lenskart,3,266,10592,2024-02-02T00:00:00.000Z,,https://www.youtube.com/shorts/pLo59SzUyiI,Should You Buy Polarised Sunglasses? | #Shorts | #Lenskart,Chennai
dcZO6BV4fIo,Lenskart,0,174,10767,2024-01-28T00:00:00.000Z,,https://www.youtube.com/shorts/dcZO6BV4fIo,Choosing the Right Eyeglasses According To Your Hair Color | #Shorts | #Lenskart,Lucknow
xF1arptgS8Y,Lenskart,5,327,11224,2023-09-01T00:00:00.000Z,,https://www.youtube.com/shorts/xF1arptgS8Y,Must Have Colored Contact Lenses For Every Bride To Be | #Shorts | #Lenskart,Hyderabad
p_WeBO26q3Y,Lenskart,5,140,10712,2024-04-03T00:00:00.000Z,,https://www.youtube.com/shorts/p_WeBO26q3Y,Why Progressive Lenses Are Gaining Popularity | #Shorts | #Lenskart,Delhi
fixAx7c_bxI,Lenskart,3,214,10774,2024-05-09T00:00:00.000Z,,https://www.youtube.com/shorts/fixAx7c_bxI,Things You'll Relate To If You Wear Eyeglasses | Lenskart,Visakhapatnam
23DLj7LAa8g,Lenskart,0,258,11002,2023-11-15T00:00:00.000Z,,https://www.youtube.com/shorts/23DLj7LAa8g,Types Of Lenses | #Shorts | #Lenskart,Hyderabad
v0HN6SptvSM,Lenskart,2,112,10223,2024-02-10T00:00:00.000Z,,https://www.youtube.com/shorts/v0HN6SptvSM,Most FAMOUS GAME Of The Year 2024 | #Shorts | #Lenskart,Surat
Q2yABJMED9A,Shark Tank India,371,10000,541722,2024-02-22T00:00:00.000Z,3360000,https://www.youtube.com/watch?v=Q2yABJMED9A,Shark Amit ?? ?Intense Focus? ?? ???? Lenskart ?? Compare | Shark Tank India S3 | Full Pitch,Hyderabad
zRZIVLjNHzY,Lenskart,23,713,342199,2024-06-08T00:00:00.000Z,272000,https://www.youtube.com/watch?v=zRZIVLjNHzY,No More Tired Eyes | Lenskart BLU Screen Glasses,Ludhiana
FgD2RhBc2B0,Amma Kuthuru,18,161,10863,2023-10-27T00:00:00.000Z,926,https://www.youtube.com/watch?v=FgD2RhBc2B0,Lenskart Glasses unboxing & review | ?????? ?? | Free eye test | Aqualens | Sunglasses | Eyeglasses,Noida
AV8LYlSnzzY,Lenskart,1,139,11048,2023-12-16T00:00:00.000Z,,https://www.youtube.com/shorts/AV8LYlSnzzY,Why You Should Try Out The New Hustlr Sunglasses | #Shorts | #Lenskart,Meerut
VM7GGk_4SXk,Lenskart,3,196,7430,2024-06-01T00:00:00.000Z,,https://www.youtube.com/shorts/VM7GGk_4SXk,These Glasses are NOT EXPENSIVE AT ALL | #Shorts | #Lenskart,Hyderabad
